tweet_id,name,dog_stage,breed,rating
787322443945877504,Lincoln,,golden_retriever,1.0
786963064373534720,Rory,,golden_retriever,1.2
786709082849828864,Logan,,pomeranian,0.975
786664955043049472,,,leonberg,1.2
786595970293370880,Dale,,pembroke,1.1
786363235746385920,Rizzo,doggo,golden_retriever,1.3
786233965241827333,Mattie,,labrador_retriever,1.1
785927819176054784,Lucy,,toy_poodle,1.2
785872687017132033,Rusty,,great_pyrenees,1.2
785639753186217984,Pinot,doggo,,1.0
785533386513321988,Dallas,,miniature_pinscher,1.1
785264754247995392,Doc,,chow,1.2
785170936622350336,Hero,,eskimo_dog,1.1
784826020293709826,Rusty,,chow,1.3
784517518371221505,Frankie,,malamute,1.1
784431430411685888,Stormy,,miniature_poodle,1.2
783839966405230592,Riley,,,1.3
783821107061198850,Mairi,,lakeland_terrier,1.2
783695101801398276,Loomis,,chow,1.2
783466772167098368,Finn,,chihuahua,1.1
783391753726550016,Godi,,norwegian_elkhound,1.3
783334639985389568,Dave,,cardigan,1.2
783085703974514689,Earl,,chesapeake_bay_retriever,1.1
782969140009107456,Cali,,golden_retriever,1.2
782747134529531904,Deacon,doggo,golden_retriever,1.1
782722598790725632,Penny,,irish_setter,1.0
782598640137187329,Timmy,,malamute,1.1
782305867769217024,Sampson,doggo,briard,1.2
781955203444699136,Chipson,,,1.1
781661882474196992,,,pembroke,0.5
781524693396357120,,,chesapeake_bay_retriever,1.2
781251288990355457,Oakley,,mexican_hairless,1.1
781163403222056960,,,shetland_sheepdog,1.0
780931614150983680,,puppo,,1.3
780858289093574656,Dash,,chesapeake_bay_retriever,1.0
780800785462489090,Koda,,siberian_husky,1.1
780601303617732608,Hercules,,saint_bernard,1.2
780543529827336192,,,golden_retriever,1.2
780459368902959104,Bear,,great_dane,1.1
780192070812196864,,,vizsla,1.1
779834332596887552,Scout,,golden_retriever,1.1
779377524342161408,,pupper,,1.2
779056095788752897,,,chihuahua,1.3
778990705243029504,Jay,,cocker_spaniel,1.1
778748913645780993,Mya,,staffordshire_bullterrier,1.1
778650543019483137,Strider,,german_shepherd,1.0
778624900596654080,Penny,,airedale,1.1
778408200802557953,,,pembroke,1.4
778383385161035776,Nala,,collie,1.3
778286810187399168,Stanley,,boston_bull,1.1
778039087836069888,,pupper,german_shepherd,1.2
778027034220126208,Sophie,pupper,clumber,1.127
777885040357281792,Wesley,,afghan_hound,0.3
777684233540206592,,,cocker_spaniel,1.2
777621514455814149,Derek,,chow,1.2
777189768882946048,Jeffrey,,chihuahua,1.2
776813020089548800,Solomon,,toy_poodle,1.2
776477788987613185,Huck,pupper,labrador_retriever,1.1
776218204058357768,,floofer,samoyed,1.3
776201521193218049,,,rottweiler,1.0
776113305656188928,Sampson,pupper,,1.1
776088319444877312,,,pug,1.0
775842724423557120,Blue,,chow,1.2
775733305207554048,Anakin,doggo,,1.1
775729183532220416,,,,1.3
775364825476165632,Finley,doggo,beagle,1.1
775085132600442880,Tucker,,chow,1.3
774757898236878852,Finley,,toy_poodle,1.2
774639387460112384,Sprinkles,,walker_hound,1.0
774314403806253056,,,eskimo_dog,1.4
773985732834758656,Winnie,pupper,pug,1.1
773922284943896577,Heinrich,,pomeranian,1.2
773704687002451968,Loki,,silky_terrier,1.2
773670353721753600,Shakespeare,,old_english_sheepdog,1.0
773547596996571136,Chelsea,pupper,norwegian_elkhound,1.1
773308824254029826,Bungalo,,labrador_retriever,1.2
773247561583001600,Chip,,miniature_pinscher,1.0
773191612633579521,Grey,,blenheim_spaniel,1.2
772877495989305348,,,norwegian_elkhound,1.1
772826264096874500,Roosevelt,,basset,1.1
772581559778025472,,,newfoundland,1.0
772193107915964416,Willem,pupper,pembroke,1.2
772152991789019136,,,golden_retriever,1.0
772117678702071809,Jack,,labrador_retriever,1.2
772114945936949249,Finn,,chihuahua,1.0
772102971039580160,Penny,,pembroke,1.1
771770456517009408,Davey,,papillon,1.1
771500966810099713,Dakota,,labrador_retriever,1.2
771380798096281600,Fizz,,collie,1.1
771136648247640064,Dixie,,golden_retriever,1.1
771102124360998913,Charlie,,labrador_retriever,1.2
771014301343748096,,,,0.7
770787852854652928,Winston,,bernese_mountain_dog,1.0
770772759874076672,Sebastian,,chow,1.1
770655142660169732,,,,1.1
770414278348247044,Al,,golden_retriever,1.1
770293558247038976,Jackson,,italian_greyhound,1.0
770069151037685760,Carbon,,boston_bull,1.0
769940425801170949,Klein,,miniature_pinscher,1.2
769695466921623552,Titan,,pug,1.3
769212283578875904,DonDon,,golden_retriever,1.2
768970937022709760,Kirby,,pomeranian,1.2
768855141948723200,Jesse,,chow,1.1
768609597686943744,Lou,,basenji,1.0
768596291618299904,Oakley,,great_pyrenees,1.2
768473857036525572,Chevy,,labrador_retriever,1.1
768193404517830656,Gerald,doggo,,0.8
767884188863397888,Tito,,,1.0
767754930266464257,Philbert,,vizsla,1.1
767500508068192258,Louie,,chow,1.2
767191397493538821,,doggo,,1.3
767122157629476866,Rupert,,toy_poodle,1.3
766793450729734144,Rufus,,beagle,1.0
766693177336135680,Brudge,,doberman,1.1
766423258543644672,Shadoe,,keeshond,0.9
